function_name,memory_allocated_mb,memory_used_mb,invocations,monthly_cost,region,avg_duration_ms,environment
user-auth-handler,512,48,4500000,28.40,us-east-1,120,production
order-processor,1024,380,890000,42.10,us-east-1,450,production
image-resizer,1024,62,1200000,18.90,us-west-2,280,production
email-notifier,256,38,3400000,9.20,us-east-1,95,production
data-export-job,2048,850,45000,22.50,us-west-2,3200,production
webhook-handler,512,55,2100000,14.80,us-east-1,180,production
report-generator,1024,90,120000,6.40,eu-west-1,1800,production
cache-warmer,512,210,780000,8.20,us-east-1,320,staging
analytics-ingestion,2048,920,2300000,95.60,us-west-2,850,production
payment-validator,256,180,5600000,16.30,us-east-1,65,production
log-archiver,1024,75,340000,4.10,us-east-1,2100,production
ml-inference,3072,2400,280000,38.70,us-west-2,950,production
notification-dispatcher,512,40,6200000,21.80,us-east-1,85,production
data-cleanup-cron,1024,88,4320,0.80,us-east-1,1200,production
thumbnail-generator,512,45,890000,7.30,ap-southeast-1,220,production
